Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Kromberg Formation ,Kromberg,3300,chert,CH,2,-26.4,,1,LEVE754706,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,2.03,-31.5,,9,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,carbonate,CARB,,,0.9,1,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-29.9,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-29.7,,3,PPRG,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-29.9,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,TRUE,,,,
Kuibis,Kuibis,600,carb,CARB,,-11.2,,2,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kuibis,Kuibis,600,carb,CARB,,-26.2,,1,jack78,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kuibis,Kuibis,600,carb,CARB,,,1.3,9,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kuibis,Kuibis,600,carb,CARB,,,2.9,2,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,-10.9,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,dolostone,DOL,,-11.6,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,-26.2,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,4.8,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,3.1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,1.5,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,1.4,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,1.8,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,2,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,1.7,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,dolostone,DOL,,,-1.9,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,dolostone,DOL,,,-2.6,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,limestone,LS,,,4.8,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kuibis Formation ,Kuibis,600,dolostone,DOL,,,1,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kuibis Formation ,Kuibis,600,carbonate,CARB,,-11.2,,2,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kuibis Formation ,Kuibis,600,carbonate,CARB,,-26.2,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kuibis Formation ,Kuibis,600,carbonate,CARB,,,1.3,9,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kuibis Formation ,Kuibis,600,carbonate,CARB,,,2.9,2,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kulele Ck,Kulele Creek,1675,carb,CARB,0.1,-20,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Kulele Ck, Earaheedy Gp",Kulele Creek,1675,carb,CARB,,,-1.2,1,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Kulele Ck, Earaheedy Gp",Kulele Creek,1675,carb,CARB,,,0.5,4,lindsay02,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kulele Creek Limestone ,Kulele Creek,1800,carbonate,CARB,0.1,-20,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kulele Creek Limestone ,Kulele Creek,1800,carbonate,CARB,,,-1.2,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kulele Creek Limestone ,Kulele Creek,1800,carbonate,CARB,0.1,-20,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kulele Creek Limestone ,Kulele Creek,1800,carbonate,CARB,,,-1.2,1,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kundelungu,Kundelungu,1000,dol,DOL,,,1.3,1,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Kundelungu ""Series"" ",Kundelungu,1000,dolostone,DOL,,,1.3,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Kundelungu ""Series"" ",Kundelungu,1000,dolostone,DOL,,,1.3,1,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kuopio,Kuopio,2050,shale,SH,50.5,-30.1,,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kuopio,Kuopio,2050,dol,DOL,,,1.1,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Ank Shale, Kurnool (lower)",Kurnool,1000,lime,LS,,,3.4,1,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kurnool,Kurnool,1000,lime,LS,,-25,,1,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kurnool,Kurnool,1000,lime,LS,,,3.4,1,eich75,Krissansen-Totton 2015,FALSE,TRUE,,,,
Kurnool (upper),Kurnool,1000,lime,LS,,,-0.6,1,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kurnool System ,Kurnool,1000,limestone,LS,,-25,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kurnool System ,Kurnool,1000,limestone,LS,,,3.4,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kurnool System ,Kurnool,1000,limestone,LS,,-25,,1,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kurnool System ,Kurnool,1000,limestone,LS,,,3.4,1,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Lower Kurnool System ,Kurnool,1000,limestone,LS,,,3.4,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Lower Kurnool System ,Kurnool,1000,limestone,LS,,3.4,,1,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Upper Kurnool System ,Kurnool,1000,limestone,LS,,,-0.6,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Upper Kurnool System ,Kurnool,1000,limestone,LS,,,-0 .6,1,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kuruman,Kuruman,2475,sid,SID,0.097,-32.39,,12,beukes90,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif formation),,
Kuruman,Kuruman,2475,shale,SH,4.548,-35,,2,beukes90,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif formation),,
Kuruman,Kuruman,2475,dol,DOL,0.041,-36,,1,beukes90,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif formation),,
Kuruman,Kuruman,2475,bif,BIF,0.012,-26,,8,beukes90,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif formation),,
Kuruman,Kuruman,2475,bif,BIF,,,-7.05,37,kaufman96,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif),,
Kuruman,Kuruman,2475,dol,DOL,,,-7.4,1,Beukes et al. (1990),Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif),,
Kuruman,Kuruman,2475,shale,SH,,,-4.3,1,Beukes et al. (1990),Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif),,
Kuruman,Kuruman,2475,sid,SID,,,-4.76,12,Beukes et al. (1990),Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif),,
Kuruman,Kuruman,2475,bif,BIF,,,-10.26,7,Beukes et al. (1990),Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif),,
Kuruman Fm,Kuruman,2495,shale,SH,1.17,-33.5,,1,Godfrey & Falkowski (2009) NatGeo,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif formation),,
Kuruna,Kuruna,2700,carb,CARB,0.81,-55.8,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,X,NM,,
Kuruna Siltstone ,Kuruna,2740,carbonate,CARB,0.81,-55.8,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Kvartsimaa Fm, Perapohja",Kvartsimaa,2050,dol,DOL,,,8.65,3,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kwagunt,Kwagunt,850,shale,SH,,-25.7,,1,bloes85,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kwagunt Formation ,Kwagunt,850,shale,SH,,-25.7,,,BLOE85.741,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kwagunt Formation ,Kwagunt,850,shale,SH,,-25.7,,1,BLOE85.741,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kylena,Kylena,2750,carb,CARB,0.38,-37.3,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kylena Basalt ,Kylena,2768,carbonate,CARB,0.38,-37.3,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Lady Loretta, McNamara Gp",Lady Loretta,1650,dol,DOL,,,-0.44,84,lindsay00,Krissansen-Totton 2015,FALSE,FALSE,,,,
Lakarwas,Lakarwas,1920,shale,SH,5.645,-25.525,,20,Papineau et al. (2009) PrecRes,Krissansen-Totton 2015,FALSE,FALSE,,,,
Landrigan,Landrigan,750,dol,DOL,,,-5.4,1,will79,Krissansen-Totton 2015,FALSE,FALSE,,,,
Landrigan Tillite ,Landrigan,750,dolostone,DOL,,,-5.4,,WILL79.377,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Landrigan Tillite ,Landrigan,750,dolostone,DOL,,,-5 .4,1,WILL79.377,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Lansen Ck,Lansen Creek,1350,shale,SH,9,-33.4,,1,powel87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Lansen Creek Shale Member ,Lansen Creek,1350,shale,SH,9,-33.4,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Lansen Creek Shale Member ,Lansen Creek,1350,shale,SH,9,-33.4,,1,POWE87...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Mid-Lapponian,Lapponian,2200,dol,DOL,,,5.88,4,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Mid-Lapponian,Lapponian,2200,lime,LS,,,1.4,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Mid-Lapponian,Lapponian,2200,dol,DOL,,,6.96,2,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Mid-Lapponian, Karajok-Kittila",Lapponian,2200,shale,SH,5.98,-27.61,,15,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Rantuvaara Fm, Upper Lapponian Gp",Lapponian,2050,dol,DOL,,,3.78,3,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Sattasvaara, Upper Lapponian",Lapponian,2100,lime,LS,,,3.2,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Sattasvaara, Upper Lapponian",Lapponian,2100,dol,DOL,,,6.2,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Upper Lapponian, Kittila-Kolari",Lapponian,2050,lime,LS,,,9.85,2,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Upper Lapponian, Kittila-Kolari",Lapponian,2050,dol,DOL,,,8.98,5,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-28.1,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-14.4,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-25.7,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-28.5,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-28.2,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-33.5,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-23.7,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-24.3,,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-26,,,GOOD76.870,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-20.4,,,GOOD76.870,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-21,,,GOOD76.870,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-26.1,,,GOOD76.870,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-27.7,,,GOOD76.870,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-26.6,,,GOOD76.870,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,0.4,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-1.3,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,0.7,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-1.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,0.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-0.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,0.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-0.9,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-0.2,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-5.8,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-7.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-3.3,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-3.8,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-2.4,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-1.3,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-2.5,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-2.9,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-1.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,0.5,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,1.9,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-0.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-0.2,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,1.2,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,0.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,1.1,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,2.3,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-3.5,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-7.6,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-7.5,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-1.5,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-4.6,,THOD83.337,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-25.8,,6,THOD83.337,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,-24.6,,6,GOOD76.870,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Late Archean BIF, Ontario ","Late Archean BIF, Ontario",2750,banded iron formation,BIF,,,-1.5,33,THOD83.337,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Ontario,"Late Archean BIF, Ontario",2750,bif,BIF,,-24.6,,6,good76,Krissansen-Totton 2015,FALSE,TRUE,X,NP (bif),?,"Late Archean BIF, Ontario?"
Ontario,"Late Archean BIF, Ontario",2750,bif,BIF,,-25.8,,6,thode83,Krissansen-Totton 2015,FALSE,TRUE,X,NP bif),?,"Late Archean BIF, Ontario?"
"Late Proterozoic, Spain ","Late Proterozoic, Spain",625,carbonate,CARB,1.05,-27.1,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,?,This is just a period
"Late Proterozoic, Spain ","Late Proterozoic, Spain",625,shale,SH,1.2,-29.7,,3,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,?,This is just a period
Lewin,Lewin,2675,shale,SH,38,-43.1,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Lewin Shale Fm, Fortescue Group, Mt Bruce ",Lewin,2690,shale,SH,2.785,-42.1225,,8,Yamaguchi thesis (2002),Krissansen-Totton 2015,FALSE,FALSE,,,,
Lewin Shale Formation ,Lewin,2500,shale,SH,38,-43.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Lewin Shale Formation ,Lewin,2500,shale,SH,38,-43.1,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Libby,Libby,1400,lime,LS,,,-2.25,11,hall96,Krissansen-Totton 2015,FALSE,FALSE,,,,
Libby,Libby,1400,dol,DOL,,,-1.07,3,hall96,Krissansen-Totton 2015,FALSE,FALSE,,,,
Lie de Vin,Lie de Vin,575,lime,LS,,,-2.5,14,tuck86,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Limestone-Dolomite Fm, Kuusamo","Limestone-Dolomite Fm, Kuusamo",2075,lime,LS,,,3.25,2,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Limestone-Dolomite Fm, Kuusamo","Limestone-Dolomite Fm, Kuusamo",2075,dol,DOL,,,3.98,7,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Limpopo,Limpopo,3000,dol,DOL,,-16.2,,1,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Limpopo Belt ,Limpopo,3000,dolostone,DOL,,-16.2,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Limpopo Belt ,Limpopo,3000,dolostone,DOL,,-16.2,,1,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Linok Fm, Sukhaya-Tunguska",Linok Formation,1050,lime,LS,,,-0.96,15,knoll95a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Linok Fm, Sukhaya-Tunguska",Linok Formation,1050,dol,DOL,,,-2.45,2,knoll95a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Linok Fm, Turukhansk",Linok Formation,1050,lime,LS,,,-0.7,9,bartley01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,907,carb,CARB,,,2.852198707,81,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,895,carb,CARB,,,4.260623716,51,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,885,carb,CARB,,,4.765076655,41,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,875,carb,CARB,,,5.064396104,44,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,865,carb,CARB,,,3.983752381,45,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,855,carb,CARB,,,4.31797619,44,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,844,carb,CARB,,,4.791457143,20,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,831,carb,CARB,,,1.570242857,5,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,815,carb,CARB,,,4.951777778,45,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,803,carb,CARB,,,-1.64216369,32,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,800,shale,SH,7.07,-25.5,,5,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,800,chert,CH,0.4,-26.1,,2,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,800,carb,CARB,0.34,-26.4,,11,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,793,carb,CARB,,,2.648470517,47,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal,Little Dal,783,carb,CARB,,,2.25145558,64,Halverson et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Little Dal Group ,Little Dal,800,carbonate,CARB,0.34,-26.4,,11,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Little Dal Group ,Little Dal,800,shale,SH,7.07,-25.5,,5,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Little Dal Group ,Little Dal,800,chert,CH,0.4,-26.1,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Loch Maree,Loch Maree,2100,lime,LS,,,5.57,19,baker89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Lofoten-Vesteralen,Lofoten-Vesteralen,2100,lime,LS,,,3.75,68,baker89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
Lokammona,Lokammona,2650,shale,SH,0.927,-35.1,,2,Zerkle et al. (2012) Nature Geoscience,Krissansen-Totton 2015,FALSE,FALSE,,,,
Lokammona,Lokammona,2649.407895,carb,CARB,,,-0.938875,8,Fischer et al. (2009),Krissansen-Totton 2015,FALSE,FALSE,,,,
Lokammona,Lokammona,2646.153846,carb,CARB,1.76,-35.22666667,,3,Fischer et al. (2009),Krissansen-Totton 2015,FALSE,FALSE,,,,
Lokamonna Fm,Lokammona,2650,shale,SH,0.4533,-35,,3,Godfrey & Falkowski (2009) NatGeo,Krissansen-Totton 2015,FALSE,FALSE,,,,
